AgeBP;d18O
1964,527845;1,2
2061,380145;2,0
2158,232446;-0,1
2255,084746;-0,6
2321,670702;0,1
2418,523002;1,6
2515,375303;2,6
2763,559322;1,2
2860,411622;0,4
2957,263923;2,1
3066,22276;1,5
3169,128329;1,4
3265,98063;1,2
3344,673123;0,4
3405,205811;0,3
3502,058111;0,8
3598,910412;1,1
3695,762712;0,8
3792,615012;3,2
3889,467312;2,2
3986,319613;1,7
4083,171913;1,5
4180,024213;1,6
4276,876513;1,7
4373,728814;1,3
4470,581114;-0,4
4555,326877;0,9
4652,179177;0,6
4749,031477;0,9
4845,883777;-0,5
4942,736077;-1,3
5039,588378;-0,9
5136,440678;0,3
5233,292978;-0,3
5330,145278;-0,9
5469,37046;-0,8
5663,075061;0,7
5856,779661;0,4
6050,484262;-0,4
