AgeBP;d18O
1994;-5,02
2015;-5,1
2022;-4,89
2030;-4,91
2037;-5,08
2044;-5,18
2066;-5,02
2087;-5,1
2109;-4,99
2130;-5,02
2135;-5,08
2139;-5,07
2144;-5
2148;-5,19
2152;-5
2157;-5,09
2161;-5,3
2166;-5,07
2170;-5,2
2175;-4,99
2179;-5,02
2183;-5,01
2188;-5,07
2192;-4,86
2197;-4,77
2221;-4,92
2246;-4,79
2270;-4,92
2295;-4,87
2320;-5
2344;-4,99
2369;-5
2393;-5,06
2418;-4,97
2442;-4,98
2467;-4,88
2491;-4,93
2516;-5,17
2541;-5,13
2565;-5,18
2590;-5,06
2614;-5,12
2639;-5,05
2663;-4,91
2688;-4,93
2712;-5,05
2736;-4,89
2760;-5,11
2785;-4,89
2809;-5,1
2815;-4,96
2821;-5
2827;-4,93
2832;-5,04
2838;-5,04
2844;-5,06
2850;-4,82
2856;-4,96
2862;-4,88
2868;-4,94
2874;-4,91
2880;-4,77
2886;-4,85
2892;-4,7
2897;-4,98
2903;-4,94
2909;-4,93
2917;-4,95
2926;-4,77
2934;-4,73
2942;-5,18
2950;-4,98
2958;-5,06
2969;-4,89
2980;-5,32
2990;-5,44
3001;-5,45
3012;-5,43
3022;-5,38
3033;-5,4
3044;-5,41
3054;-5,45
3065;-5,42
3076;-5,43
3086;-5,3
3097;-5,38
3108;-5,32
3122;-5,2
3136;-5,26
3150;-5,39
3164;-5,32
3179;-5,42
3193;-5,43
3207;-5,48
3221;-5,5
3236;-5,46
3250;-5,45
3264;-5,3
3278;-5,37
3293;-5,5
3307;-5,55
3321;-5,56
3335;-5,67
3349;-5,52
3364;-5,41
3382;-5,37
3400;-5,43
3418;-5,38
3436;-5,4
3454;-5,35
3472;-5,38
3490;-5,31
3508;-5,33
3526;-5,36
3545;-5,29
3563;-5,31
3581;-5,55
3599;-5,48
3617;-5,34
3635;-5,39
3653;-5,48
3657;-5,39
3660;-5,58
3664;-5,5
3667;-5,53
3671;-5,49
3675;-5,65
3678;-5,48
3682;-5,55
3686;-5,45
3689;-5,5
3693;-5,16
3696;-5,16
3700;-5,39
3704;-5,43
3707;-5,5
3711;-5,49
3714;-5,34
3718;-5,37
3722;-5,19
3725;-5,42
3729;-5,51
3732;-5,31
3736;-5,45
3740;-5,46
3743;-5,49
3747;-5,37
3750;-5,46
3754;-5,41
3758;-5,55
3761;-5,53
3765;-5,4
3768;-5,5
3772;-5,58
3783;-5,6
3794;-5,52
3805;-5,51
3816;-5,43
3827;-5,5
3839;-5,42
3850;-5,44
3861;-5,4
3872;-5,43
3883;-5,27
3894;-5,22
3905;-5,01
3916;-5,06
3927;-4,9
3945;-5,07
3962;-4,92
3980;-4,91
3997;-4,96
4015;-4,94
4032;-5,05
4050;-5,07
4067;-4,71
4085;-5,02
4102;-5
4120;-4,94
4137;-5,04
4155;-5,07
4172;-5,15
4190;-5,32
4207;-5,05
4225;-5,22
4242;-5,09
4260;-5,11
4277;-5,15
4295;-5,28
4312;-4,79
4330;-5,03
4347;-4,87
4365;-5,02
4382;-5,07
4398;-5,19
4413;-5,12
4428;-5,25
4444;-5,29
4459;-5,17
4475;-5,36
4490;-5,41
4506;-5,23
4521;-5,32
4536;-5,27
4552;-5,27
4567;-5,25
4583;-5,31
4598;-5,15
4614;-5,35
4629;-5,25
4644;-5,23
4685;-5,04
4726;-5,23
4766;-5,22
4807;-5,21
4811;-5,07
4815;-5,15
4820;-5,12
4824;-5,23
4828;-5,22
4832;-5,19
4837;-5,11
4841;-5,23
4845;-5,08
4849;-5,36
4854;-5,29
4858;-5,41
4862;-5,18
4866;-5,28
4870;-5,32
4875;-5,06
4879;-5,05
4883;-5,01
4887;-5,14
4892;-5,09
4896;-4,88
4900;-4,97
4904;-5,06
4909;-5,07
4913;-5,03
4917;-4,83
4921;-5
4925;-5,07
4930;-5,03
4934;-5,06
4938;-4,95
4942;-4,91
4947;-4,94
4951;-5,1
4955;-4,89
4959;-4,93
4964;-4,77
4968;-4,95
4972;-4,87
4976;-4,8
4980;-4,73
4985;-4,86
4989;-4,9
4993;-4,97
4999;-4,85
5005;-4,91
5010;-4,8
5016;-4,91
5022;-4,78
5027;-4,95
5033;-4,79
5039;-5,02
5044;-4,9
5050;-4,91
5056;-4,79
5062;-4,97
5067;-4,9
5073;-4,94
5079;-4,94
5084;-4,97
5091;-5,08
5099;-4,93
5106;-4,73
5113;-4,89
5120;-4,86
5127;-4,79
5134;-4,86
5141;-4,87
5158;-4,79
5174;-4,97
5191;-4,81
5207;-5,23
5224;-4,99
5240;-5,36
5260;-5
5280;-5,25
5286;-5,09
5291;-5,23
5296;-5,09
5302;-5,36
5307;-5,44
5312;-5,72
5317;-5,81
5323;-6
5328;-5,93
5333;-5,84
5339;-5,62
5344;-5,35
5349;-5,27
5354;-4,84
5360;-4,89
5365;-4,98
5370;-5,07
5376;-5,32
5381;-5,21
5386;-5,15
5391;-5,02
5397;-5,02
5402;-5,07
5407;-5,3
5420;-5,31
5432;-5,19
5445;-5,1
5457;-4,95
5470;-4,94
5482;-4,97
5495;-4,95
5507;-5,11
5520;-5,13
5532;-5,08
5545;-5,31
5557;-5,48
5570;-5,33
5582;-5,36
5595;-5,23
5607;-5,13
5620;-5,26
5626;-5,37
5633;-5,01
5639;-5,19
5646;-5,32
5653;-5,26
5659;-5,21
5666;-5,51
5672;-5,43
5679;-5,29
5686;-4,76
5692;-5,24
5699;-5,09
5705;-5,61
5712;-5,39
5719;-5,48
5725;-5,02
5732;-5,11
5738;-5,19
5745;-5,11
5752;-5
5758;-5,1
5763;-5
5767;-5,46
5771;-5,46
5776;-5,43
5780;-5,51
5784;-5,02
5789;-5,43
5793;-4,94
5797;-5,14
5802;-4,9
5806;-4,73
5810;-5
5815;-5,12
5819;-5,25
5823;-5,08
5828;-5,21
5832;-5,46
5836;-5,25
5841;-5,28
5847;-5,25
5853;-5,24
5858;-5,4
5864;-5,33
5870;-5,48
5876;-5,22
5882;-5,28
5888;-5,3
5894;-5,27
5900;-5,38
5906;-5,21
5912;-5,15
5918;-5,31
5924;-5,17
5930;-5,42
5936;-5,14
5942;-5,35
5947;-5,42
5953;-5,37
5957;-5,44
5961;-5,26
5965;-5,27
5969;-5,61
5973;-5,13
5977;-5,41
5981;-5,63
5985;-5,47
5989;-5,56
5993;-5,56
5997;-5,24
6002;-5,47
