AgeBP;d18O
1296,488225;-4,078538333
1303,336124;-4,031146667
1310,01689;-4,136618333
1313,01049;-4,410078333
1315,152999;-4,526843333
1316,261748;-4,470376667
1316,395892;-4,159608333
1316,581362;-4,321748333
1316,766833;-4,3764
1316,952303;-4,46957
1317,137774;-4,45384
1317,323244;-4,393541667
1317,508715;-4,605695
1320,883529;-4,474611667
1329,306071;-4,60751
1341,20991;-4,885003333
1353,211517;-4,594805
1363,992048;-4,801311667
1373,568845;-4,714191667
1382,293297;-4,771666667
1390,516792;-4,67648
1398,564785;-4,858383333
1406,658994;-4,907186667
1414,995205;-4,954376667
1423,769203;-4,444563333
1433,116285;-4,851728333
1442,9298;-4,749793878
1453,042608;-5,135085714
1463,287569;-5,436126531
1473,547227;-4,939510204
1483,902849;-4,814244898
1494,485385;-4,975069388
1505,425786;-4,895061224
1516,837748;-4,667159184
1528,765959;-4,743328571
1541,237853;-4,957491837
1554,280865;-4,675038776
1567,912053;-4,702112245
1582,106975;-4,744136735
1596,830814;-5,090636735
1612,048751;-5,31975102
1627,695506;-5,242571429
1643,583952;-5,221963265
1659,4965;-5,303183673
1675,215559;-5,428246939
1690,574264;-5,026387755
1705,608646;-4,858693878
1720,405459;-4,904557143
1735,051456;-4,66635102
1749,606919;-4,389353061
1764,026238;-4,567755102
1778,237328;-5,2355
1792,168104;-5,069826531
1805,724977;-4,955673469
1818,728329;-5,103769388
1830,977034;-4,702920408
1842,269969;-4,420265306
1852,441134;-4,793838776
1852,441134;-4,495020408
1861,46504;-4,511385714
1869,351323;-3,983655102
1876,109618;-4,060632653
1881,817607;-4,187110204
1886,825145;-4,167310204
1891,550134;-4,534418367
1896,410473;-4,393595918
1901,725225;-4,297626531
1907,418093;-4,41744159
1913,313942;-4,763465804
1919,237637;-4,640475231
1925,050552;-4,485881516
1930,760096;-4,359066359
1936,41019;-4,460115896
1942,044754;-4,52070536
1947,699833;-4,58109353
1953,379982;-4,496348799
1959,081881;-4,539626987
1964,802212;-4,699655638
1970,536328;-4,874580037
1976,274274;-4,728641959
1982,004767;-4,739109242
1987,716527;-4,522919593
1993,401652;-4,540527374
1999,06577;-4,71006257
2004,717893;-4,623064246
2010,367028;-4,666664804
2016,01963;-4,708643017
2021,67192;-4,729327933
2027,317564;-4,459612849
2032,950228;-4,317251955
2038,566683;-4,109997207
2044,176129;-3,914910056
2049,790874;-4,232281564
2055,423224;-4,252155307
2061,081847;-4,262700559
2066,760861;-4,123787151
2952,632108;-3,741724581
2956,919364;-4,12987095
2961,300516;-3,877798883
2965,928504;-4,033138547
2970,915316;-4,208351955
2976,265484;-4,385390503
2981,964846;-4,585344693
2987,887784;-4,742103911
2993,712309;-4,377278771
2999,103522;-4,312587709
3003,960368;-4,210785475
3008,463613;-4,095193296
3012,805445;-3,992377095
3017,088043;-4,325769274
3021,338899;-4,200443017
3025,575911;-4,65652514
3029,744894;-4,859318436
3033,750749;-4,875947486
3037,518384;-4,732775419
3041,099063;-4,771508939
3044,592204;-4,538499441
3048,092733;-4,01732067
3051,677224;-4,523492737
3055,417604;-4,752040782
