AgeBP;d18O
2010,00;1,39
2024,00;1,87
2043,00;2,43
2067,00;2,50
2089,00;1,89
2110,00;1,86
2138,00;2,09
2159,00;2,06
2186,00;2,29
2206,00;2,10
2230,00;2,66
2251,00;2,33
2270,00;1,37
2289,00;2,22
2328,00;2,14
2464,00;0,52
2491,00;0,63
2513,00;-0,93
2538,00;-1,44
2557,00;1,69
2880,30;1,68
3098,70;1,83
3129,90;1,34
3161,10;1,98
3192,30;1,65
3219,30;2,11
3247,30;1,26
3268,30;1,76
3287,80;2,09
3322,90;2,57
3361,90;3,25
3397,00;2,52
3420,40;2,35
3446,40;2,18
3470,40;1,62
3532,80;1,33
3595,20;0,80
3657,60;0,97
3688,80;0,75
3720,00;1,99
3742,00;3,22
3762,00;2,67
3782,00;1,96
3803,00;3,37
3829,00;3,12
3849,00;3,07
3868,00;2,37
3887,00;3,25
3907,00;1,83
3927,00;1,99
3947,00;2,31
3968,00;2,48
3987,00;2,57
3997,00;2,27
4007,00;2,54
4017,00;3,03
4027,00;2,25
4037,00;0,75
4047,00;1,73
4057,00;1,22
4066,00;1,59
4076,00;1,53
4086,00;1,79
4096,00;-0,25
4106,00;0,22
4116,00;0,57
4126,00;0,30
4136,00;-0,39
4146,00;-0,56
4156,00;-0,82
4166,00;1,56
4176,00;1,75
4216,00;-0,31
4236,00;-0,42
4305,00;-0,28
4324,00;-0,01
4331,00;-0,11
4343,00;-0,20
4350,00;-0,28
4356,00;1,60
4364,00;0,80
4369,00;0,68
4376,00;1,31
4383,00;1,51
