AgeBP;d18O
1993,80;-8,02
2004,16;-7,98
2014,52;-8,00
2024,88;-7,99
2035,24;-8,07
2045,60;-8,12
2055,96;-8,28
2066,32;-8,26
2076,68;-8,41
2087,04;-8,40
2097,40;-8,45
2107,76;-8,32
2118,12;-8,23
2128,48;-7,99
2138,84;-8,08
2149,20;-8,15
2159,56;-8,14
2169,92;-8,08
2180,28;-8,13
2190,64;-8,16
2201,00;-8,15
2211,36;-8,22
2221,72;-8,22
2232,08;-8,16
2242,44;-8,24
2252,80;-8,31
2263,16;-8,21
2273,52;-8,27
2283,88;-8,33
2294,24;-8,38
2304,60;-8,28
2314,96;-8,23
2325,32;-8,30
2335,68;-8,25
2346,04;-8,26
2356,40;-8,19
2366,76;-8,12
2377,12;-8,12
2387,48;-8,10
2397,84;-8,06
2408,20;-8,00
2418,56;-8,13
2428,92;-8,13
2439,28;-8,05
2449,64;-8,06
2460,00;-8,07
2465,65;-8,08
2471,30;-8,08
2476,95;-8,09
2482,60;-7,99
2488,25;-8,12
2493,89;-8,18
2499,54;-8,15
2505,19;-8,03
2510,84;-8,04
2516,49;-8,23
2522,14;-8,16
2527,79;-8,04
2533,44;-7,94
2539,09;-8,08
2544,74;-8,00
2550,39;-7,99
2556,04;-7,95
2561,68;-8,10
2567,33;-8,02
2572,98;-8,10
2578,63;-8,17
2584,28;-8,16
2589,93;-8,18
2595,58;-7,99
2601,23;-8,00
2606,88;-8,17
2612,53;-8,06
2618,18;-8,15
2623,82;-8,11
2629,47;-8,10
2635,12;-8,20
2640,77;-8,12
2646,42;-8,01
2652,07;-8,06
2657,72;-8,01
2663,37;-8,25
2669,02;-8,13
2674,67;-8,14
2680,32;-8,11
2685,96;-8,04
2691,61;-8,05
2697,26;-7,93
2702,91;-7,91
2708,56;-8,05
2714,21;-7,97
2719,86;-7,83
2725,51;-8,04
2731,16;-8,07
2736,81;-8,01
2742,46;-8,09
2748,11;-8,02
2753,75;-7,99
2759,40;-7,97
2765,05;-7,96
2770,70;-8,05
2776,35;-8,09
2782,00;-8,10
2789,94;-8,10
2797,87;-8,17
2805,81;-8,05
2813,74;-8,23
2821,68;-8,09
2829,61;-8,18
2837,55;-8,07
2845,48;-8,06
2853,42;-8,07
2861,35;-8,09
2869,29;-8,03
2877,23;-8,04
2885,16;-8,09
2893,10;-8,03
2901,03;-8,19
2908,97;-8,10
2916,90;-8,12
2924,84;-8,13
2932,77;-8,19
2940,71;-8,18
2948,65;-8,07
2956,58;-8,02
2964,52;-8,14
2972,45;-8,11
2980,39;-8,09
2988,32;-8,01
2996,26;-7,96
3004,19;-8,03
3012,13;-8,11
3020,06;-8,01
3028,00;-8,05
3035,94;-8,01
3043,87;-8,05
3051,81;-7,96
3059,74;-7,83
3067,68;-7,89
3075,61;-7,91
3083,55;-7,94
3091,48;-8,00
3099,42;-7,90
3107,35;-7,83
3115,29;-7,89
3123,23;-7,90
3131,16;-7,98
3139,10;-7,92
3147,03;-8,01
3154,97;-8,12
3162,90;-8,10
3170,84;-8,11
3178,77;-8,01
3186,71;-8,15
3194,65;-8,28
3202,58;-8,25
3210,52;-8,22
3218,45;-8,29
3226,39;-8,28
3234,32;-8,20
3242,26;-8,23
3250,19;-8,22
3258,13;-8,11
3266,06;-8,01
3274,00;-8,04
3276,54;-8,15
3279,07;-8,09
3281,61;-8,16
3284,14;-8,04
3286,68;-8,07
3289,22;-8,15
3291,75;-7,97
3294,29;-8,05
3296,83;-7,98
3299,36;-7,95
3301,90;-7,95
3304,43;-7,96
3306,97;-8,00
3309,51;-7,97
3312,04;-8,01
3314,58;-7,93
3317,12;-7,92
3319,65;-7,95
3322,19;-8,01
3324,72;-8,07
3327,26;-8,05
3329,80;-8,05
3332,33;-8,12
3334,87;-8,17
3337,41;-8,14
3339,94;-8,25
3342,48;-8,19
3345,01;-8,25
3347,55;-8,22
3350,09;-8,17
3352,62;-8,19
3355,16;-8,19
3357,70;-8,19
3360,23;-8,19
3362,77;-8,21
3365,30;-8,19
3367,84;-8,23
3370,38;-8,15
3372,91;-8,15
3375,45;-8,12
3377,99;-8,12
3380,52;-8,16
3383,06;-8,11
3385,59;-8,14
3388,13;-8,11
3390,67;-8,11
3393,20;-8,18
3395,74;-8,13
3398,28;-8,10
3400,81;-8,10
3403,35;-8,08
3405,88;-8,06
3408,42;-8,09
3410,96;-8,16
3413,49;-8,03
3416,03;-8,13
3418,57;-8,20
3421,10;-8,25
3423,64;-8,27
3426,17;-8,29
3428,71;-8,40
3431,25;-8,33
3433,78;-8,31
3436,32;-8,30
3438,86;-8,32
3441,39;-8,37
3443,93;-8,34
3446,46;-8,43
3449,00;-8,34
3451,54;-8,34
3454,07;-8,33
3456,61;-8,33
3459,14;-8,34
3461,68;-8,35
3464,22;-8,26
3466,75;-8,38
3469,29;-8,45
3471,83;-8,44
3474,36;-8,48
3476,90;-8,52
3479,43;-8,62
3481,97;-8,62
3484,51;-8,59
3487,04;-8,52
3489,58;-8,56
3492,12;-8,48
3494,65;-8,53
3497,19;-8,46
3499,72;-8,48
3502,26;-8,42
3504,80;-8,44
3507,33;-8,31
3509,87;-8,28
3512,41;-8,24
3514,94;-8,35
3517,48;-8,25
3520,01;-8,26
3522,55;-8,20
3525,09;-8,15
3527,62;-8,08
3530,16;-8,10
3532,70;-8,17
3535,23;-8,10
3537,77;-8,17
3540,30;-8,18
3542,84;-8,20
3545,38;-8,23
3547,91;-8,24
3550,45;-8,23
3552,99;-8,22
3555,52;-8,10
3558,06;-8,14
3560,59;-8,13
3563,13;-8,13
3565,67;-8,14
3568,20;-8,02
3570,74;-8,09
3573,28;-8,04
3575,81;-8,13
3578,35;-8,05
3580,88;-8,05
3583,42;-8,15
3585,96;-8,07
3588,49;-7,93
3591,03;-8,00
3593,57;-8,02
3596,10;-8,01
3598,64;-8,12
3601,17;-7,99
3603,71;-8,10
3606,25;-8,06
3608,78;-8,06
3611,32;-7,98
3613,86;-8,00
3616,39;-7,97
3618,93;-8,05
3621,46;-7,95
3624,00;-8,05
3626,92;-8,06
3629,84;-7,99
3632,77;-8,00
3635,69;-8,05
3638,61;-8,07
3641,53;-8,02
3644,45;-7,96
3647,38;-7,98
3650,30;-7,99
3653,22;-7,97
3656,14;-8,02
3659,06;-8,02
3661,99;-8,00
3664,91;-7,96
3667,83;-7,95
3670,75;-7,94
3673,68;-8,00
3676,60;-7,99
3679,52;-8,04
3682,44;-7,93
3685,36;-8,00
3688,29;-8,09
3691,21;-8,06
3694,13;-8,07
3697,05;-8,08
3699,97;-8,12
3702,90;-8,03
3705,82;-7,97
3708,74;-7,99
3711,66;-8,01
3714,58;-7,86
3717,51;-7,93
3720,43;-7,98
3723,35;-8,03
3726,27;-8,01
3729,19;-7,95
3732,12;-7,87
3735,04;-7,92
3737,96;-8,00
3740,88;-8,03
3743,81;-7,90
3746,73;-7,89
3749,65;-7,89
3752,57;-7,89
3755,49;-7,97
3758,42;-8,03
3761,34;-7,94
3764,26;-7,93
3767,18;-8,05
3770,10;-8,02
3773,03;-8,00
3775,95;-8,01
3778,87;-8,07
3781,79;-7,97
3784,71;-8,10
3787,64;-8,04
3790,56;-8,09
3793,48;-8,00
3796,40;-7,99
3799,32;-8,07
3802,25;-8,04
3805,17;-8,02
3808,09;-8,12
3811,01;-8,11
3813,94;-8,07
3816,86;-8,06
3819,78;-8,07
3822,70;-8,10
3825,62;-8,06
3828,55;-8,06
3831,47;-8,15
3834,39;-8,16
3837,31;-8,11
3840,23;-8,11
3843,16;-8,08
3846,08;-8,05
3849,00;-8,09
3851,92;-8,12
3854,84;-8,11
3857,77;-8,15
3860,69;-8,14
3863,61;-8,31
3866,53;-8,33
3869,45;-8,32
3872,38;-8,29
3875,30;-8,28
3878,22;-8,34
3881,14;-8,26
3884,06;-8,18
3886,99;-8,16
3889,91;-8,21
3892,83;-8,17
3895,75;-8,19
3898,68;-8,23
3901,60;-8,22
3904,52;-8,29
3907,44;-8,26
3910,36;-8,23
3913,29;-8,23
3916,21;-8,23
3919,13;-8,24
3922,05;-8,25
3924,97;-8,25
3927,90;-8,30
3930,82;-8,22
3933,74;-8,23
3936,66;-8,24
3939,58;-8,21
3942,51;-8,19
3945,43;-8,25
3948,35;-8,23
3951,27;-8,24
3954,19;-8,24
3957,12;-8,35
3960,04;-8,19
3962,96;-8,25
3965,88;-8,27
3968,81;-8,24
3971,73;-8,19
3974,65;-8,16
3977,57;-8,09
3980,49;-8,19
3983,42;-8,23
3986,34;-8,28
3989,26;-8,34
3992,18;-8,41
3995,10;-8,42
3998,03;-8,21
4000,95;-8,21
4003,87;-8,19
4006,79;-8,20
4009,71;-8,07
4012,64;-8,12
4015,56;-8,07
4018,48;-8,17
4021,40;-8,08
4024,32;-8,14
4027,25;-8,23
4030,17;-8,26
4033,09;-8,25
4036,01;-8,26
4038,94;-8,19
4041,86;-8,26
4044,78;-8,27
4047,70;-8,22
4050,62;-8,13
4053,55;-7,96
4056,47;-8,06
4059,39;-8,02
4062,31;-8,17
4065,23;-8,35
4068,16;-8,11
4071,08;-7,99
4074,00;-7,98
4084,75;-8,12
4095,50;-8,00
4106,25;-7,98
4117,00;-7,96
4127,75;-8,02
4138,50;-8,08
4149,25;-8,12
4160,00;-8,05
4170,75;-8,11
4181,50;-8,09
4192,25;-8,13
4203,00;-8,22
4213,75;-8,16
4224,50;-8,19
4235,25;-8,18
4246,00;-8,21
4256,75;-8,23
4267,50;-8,27
4278,25;-8,29
4289,00;-8,22
4299,75;-8,24
4310,50;-8,13
4321,25;-8,11
4332,00;-8,15
4342,75;-8,06
4353,50;-8,14
4364,25;-8,14
4375,00;-8,09
4385,75;-8,18
4396,50;-8,10
4407,25;-8,18
4418,00;-8,25
4428,75;-8,13
4439,50;-8,13
4450,25;-8,11
4461,00;-8,06
4471,75;-8,11
4482,50;-8,13
4493,25;-8,23
4504,00;-8,19
4510,73;-8,15
4517,47;-8,10
4524,20;-8,03
4530,93;-7,99
4537,67;-8,05
4544,40;-8,14
4551,13;-8,20
4557,87;-8,08
4564,60;-8,21
4571,33;-8,23
4578,07;-8,14
4584,80;-8,22
4591,53;-8,17
4598,27;-8,29
4605,00;-8,36
4611,73;-8,33
4618,47;-8,35
4625,20;-8,12
4631,93;-8,21
4638,67;-8,18
4645,40;-8,20
4652,13;-8,22
4658,87;-8,35
4665,60;-8,27
4672,33;-8,27
4679,07;-8,24
4685,80;-8,25
4692,53;-8,20
4699,27;-8,31
4706,00;-8,30
4724,19;-8,32
4742,39;-8,21
4760,58;-8,26
4778,78;-8,22
4796,97;-8,11
4815,17;-7,88
4833,36;-8,27
4851,56;-8,28
4869,75;-8,31
4887,94;-8,17
4906,14;-8,12
4924,33;-8,11
4942,53;-8,21
4960,72;-8,16
4978,92;-8,31
4997,11;-8,25
5015,31;-8,31
5033,50;-8,41
5051,69;-8,40
5069,89;-8,30
5088,08;-8,33
5106,28;-8,39
5124,47;-8,25
5142,67;-8,36
5160,86;-8,23
5179,06;-8,25
5197,25;-8,35
5215,44;-8,35
5233,64;-8,59
5251,83;-8,45
5270,03;-8,38
5288,22;-8,47
5306,42;-8,48
5324,61;-8,35
5342,81;-8,08
5361,00;-7,95
5364,80;-7,99
5368,60;-8,05
5372,39;-8,04
5376,19;-8,14
5379,99;-8,13
5383,79;-8,03
5387,58;-8,12
5391,38;-8,22
5395,18;-8,17
5398,98;-8,08
5402,77;-8,12
5406,57;-8,07
5410,37;-8,08
5414,17;-7,96
5417,96;-8,11
5421,76;-8,18
5425,56;-8,15
5429,36;-8,26
5433,15;-8,28
5436,95;-8,32
5440,75;-8,35
5444,55;-8,42
5448,35;-8,60
5452,14;-8,51
5455,94;-8,43
5459,74;-8,35
5463,54;-8,15
5467,33;-8,10
5471,13;-8,21
5474,93;-8,37
5478,73;-8,33
5482,52;-8,32
5486,32;-8,48
5490,12;-8,56
5493,92;-8,68
5497,71;-8,53
5501,51;-8,64
5505,31;-8,69
5509,11;-8,65
5512,90;-8,39
5516,70;-8,20
5520,50;-8,24
5524,30;-8,39
5528,10;-8,36
5531,89;-8,08
5535,69;-8,25
5539,49;-8,39
5543,29;-8,25
5547,08;-8,27
5550,88;-8,53
5554,68;-8,55
5558,48;-8,49
5562,27;-8,21
5566,07;-8,01
5569,87;-8,12
5573,67;-8,20
5577,46;-8,23
5581,26;-8,25
5585,06;-8,27
5588,86;-8,42
5592,65;-8,40
5596,45;-8,47
5600,25;-8,44
5604,05;-8,25
5607,85;-8,31
5611,64;-8,30
5615,44;-8,42
5619,24;-8,42
5623,04;-8,51
5626,83;-8,54
5630,63;-8,42
5634,43;-8,26
5638,23;-8,21
5642,02;-8,17
5645,82;-8,14
5649,62;-8,11
5653,42;-8,05
5657,21;-7,98
5661,01;-8,19
5664,81;-8,30
5668,61;-8,34
5672,40;-8,43
5676,20;-8,45
5680,00;-8,61
5691,09;-8,54
5702,18;-8,68
5713,27;-8,43
5724,36;-8,48
5735,45;-8,55
5746,54;-8,50
5757,63;-8,59
5768,71;-8,48
5779,80;-8,45
5790,89;-8,26
5801,98;-8,36
5813,07;-8,35
5824,16;-8,48
5835,25;-8,48
5846,34;-8,52
5857,43;-8,21
5868,52;-8,50
5879,61;-8,59
5890,70;-8,47
5901,79;-8,26
5912,88;-8,29
5923,96;-8,06
5935,05;-7,85
5946,14;-7,97
5957,23;-7,99
5968,32;-8,01
5979,41;-8,08
5990,50;-7,93
6001,59;-7,92
