AgeBP;d18O
1740;-5,330
2000;-5,310
2240;-5,360
2360;-5,420
2480;-5,390
2600;-5,600
2760;-5,560
2930;-5,510
3100;-5,620
3200;-5,410
3300;-5,450
3400;-5,400
3500;-5,330
3540;-5,490
3580;-5,390
3620;-5,280
3660;-5,260
3720;-5,510
3780;-5,550
3800;-5,520
3820;-5,370
3860;-5,400
3880;-5,240
3900;-5,230
3920;-5,350
3940;-5,310
3960;-5,370
3980;-5,250
4015;-5,340
4030;-5,360
4045;-5,360
4060;-5,470
4075;-5,490
4100;-5,420
4115;-5,520
4130;-5,420
4145;-5,330
4160;-5,310
4175;-5,200
4190;-5,390
4200;-5,390
4235;-5,520
4250;-5,520
4265;-5,500
4280;-5,500
4295;-5,520
4310;-5,510
4320;-5,540
4350;-5,660
4380;-5,820
4410;-5,790
4440;-5,600
4470;-5,630
4500;-5,500
4530;-5,580
4560;-5,780
4590;-5,840
4620;-5,980
4650;-6,120
4700;-6,000
4740;-6,040
4775;-6,020
4800;-5,810
4810;-5,800
4830;-5,880
4840;-5,740
4850;-5,900
4870;-5,890
4880;-5,870
4890;-5,830
4900;-5,500
4910;-5,190
4925;-5,250
4940;-5,360
4955;-5,350
4970;-5,770
4985;-5,500
5000;-5,500
5015;-5,540
5045;-5,870
5060;-5,960
5078;-5,600
5096;-5,590
5114;-5,840
5150;-5,220
5168;-5,220
5186;-4,530
5206;-5,080
5226;-6,100
5246;-6,040
5266;-5,520
5286;-5,680
5306;-5,330
5326;-5,290
5346;-5,360
5366;-5,570
5390;-5,700
5436;-5,880
5496;-5,820
5576;-5,730
5676;-6,000
5776;-5,890
5976;-5,640
6100;-5,700
